,gold,debt,stock_t,ceiling,ratio,real10,band_p10,band_p50,band_p90,pctile_20y,model_ratio
1976-05-01,127,620432000000.0,95561.93061097336,201.93807487739764,0.6289056686170021,,0.27020409777134086,0.3116908761456165,0.9449582314276944,0.72,
1976-06-01,126,620432000000.0,95698.75086776409,201.6493645336365,0.6248469976159154,,0.2702291779570101,0.31191392716577643,0.9446517674080289,0.7063492063492064,
1976-07-01,118,634701000000.0,95831.34407994036,206.00157494092656,0.5728111546420843,,0.27025426047060747,0.31213713780484525,0.9443454027792068,0.6850393700787402,
1976-08-01,110,634701000000.0,95968.5500679503,205.7070550216263,0.5347410179414388,,0.270279345312349,0.314651396650074,0.9440391375089936,0.6796875,
1976-09-01,114,634701000000.0,96105.95249986206,205.41295617669348,0.5549795987646403,,0.2703044324824508,0.31718590780358386,0.9437329715651663,0.6821705426356589,
1976-10-01,116,653543000000.0,96239.1099009323,211.2182826648356,0.5491948828315709,,0.270329521981129,0.3174307117211271,0.9434269049155117,0.676923076923077,
1976-11-01,130,653543000000.0,96376.89970536352,210.91630443198457,0.6163582296309477,,0.2703546138085997,0.3176757045782056,0.9431209375278272,0.7099236641221374,
1976-12-01,134,653543000000.0,96510.43251112796,210.62447851037737,0.6362033556009393,,0.270392048838501,0.31819725575877195,0.942487813801185,0.7424242424242424,
1977-01-01,132,669207000000.0,96648.61078018064,215.36434109672143,0.6129148369121981,,0.270429489051896,0.3187196632076335,0.9418551150949586,0.6992481203007519,
1977-02-01,136,669207000000.0,96786.98688519302,215.05643525484547,0.6323921432010985,,0.2704669344495026,0.3187781263056489,0.9412228411238291,0.7313432835820896,
1977-03-01,148,669207000000.0,96912.14203406224,214.7787051417277,0.6890813495795036,,0.27050438503203855,0.31883660012761456,0.9405909916026688,0.8,
1977-04-01,149,674425000000.0,97050.89544846548,216.1439337930684,0.6893554558077463,,0.27054184080022187,0.3190062490763775,0.9399595662465414,0.8014705882352942,
1977-05-01,147,674425000000.0,97185.36209359315,215.84487487086295,0.681044662690963,,0.27057930175477046,0.31917598829321436,0.939328564770702,0.781021897810219,
1977-06-01,141,674425000000.0,97324.50668928029,215.536282011092,0.6541822039629681,,0.2706167678964026,0.3202145316299543,0.9386979868905967,0.7391304347826086,
1977-07-01,143,698840000000.0,97459.35243019529,223.0299418546893,0.641169516571765,,0.2706542392258365,0.3212564542066805,0.9380678323218627,0.7266187050359713,
1977-08-01,145,698840000000.0,97598.88931000613,222.71107652322075,0.6510677522807525,,0.27069171574379036,0.321471513525981,0.9374381007803282,0.7285714285714285,
1977-09-01,150,698840000000.0,97738.62597096,222.3926670726925,0.6744826705593228,,0.2707291974509828,0.3216867168128509,0.9368087919820118,0.7730496453900709,
1977-10-01,159,718943000000.0,97874.0454853599,228.4735119337361,0.6959231232288958,,0.27090263591462355,0.3234400277943841,0.9361778142252002,0.8098591549295775,
1977-11-01,162,718943000000.0,98014.17609962058,228.14686394419388,0.7100689319123238,,0.2710761854889275,0.32520289496595345,0.9355472614568524,0.8111888111888111,
1977-12-01,160,718943000000.0,98149.97739618944,227.8311976470263,0.7022743226232097,,0.27124984624507587,0.32541308679543435,0.9349171333907222,0.8055555555555556,
1978-01-01,173,737951000000.0,98290.50307441184,233.5204426440184,0.7408344984328564,,0.27142361825429573,0.3256234144804253,0.9342874297407556,0.8206896551724138,
1978-02-01,178,737951000000.0,98431.22994948382,233.1865790706831,0.7633372414029237,,0.2715975015878596,0.3275856427932729,0.933658150221092,0.8424657534246576,
1978-03-01,184,737951000000.0,98558.51126729487,232.88543516440524,0.7900880528235069,,0.27177149631708564,0.32955969562420023,0.9330292945460624,0.8503401360544217,
1978-04-01,175,749024000000.0,98699.62186158996,236.04194367209237,0.7413936577437636,,0.2719456025133378,0.33089485520073636,0.9324008624301909,0.8108108108108109,
1978-05-01,176,749024000000.0,98836.3728618334,235.71535366315217,0.7466632837651802,,0.2721198202480256,0.3322354239675298,0.9317728535881936,0.8120805369127517,
1978-06-01,184,749024000000.0,98977.88128290404,235.3783520312053,0.7817201472105055,,0.2722941495926046,0.33246550489000226,0.9311452677349786,0.8466666666666667,
1978-07-01,189,771544000000.0,99115.01781911482,242.1197252323419,0.7806055447098853,,0.2724685906185758,0.3326957451489785,0.9305181045856468,0.8410596026490066,
1978-08-01,206,771544000000.0,99256.92518853616,241.77356728691416,0.8520368968024472,,0.2725280797949415,0.3510545689959609,0.9277131435416612,0.868421052631579,
1978-09-01,212,771544000000.0,99399.0357330357,241.4279042426064,0.8781089355229011,,0.2725875819598212,0.3704264698598845,0.9249166377941601,0.869281045751634,
1978-10-01,227,789207000000.0,99536.75579014784,246.6132374526793,0.9204696485262972,,0.2726470971160507,0.38823370049502887,0.9274921038771016,0.8896103896103896,
1978-11-01,206,789207000000.0,99679.26698053768,246.26065514444323,0.8365120277909254,,0.2727066252664665,0.4068969646177726,0.9264856253145992,0.8516129032258064,
1978-12-01,208,789207000000.0,99817.3753056358,245.9199264234623,0.845803766392781,,0.2727661664139057,0.40928937488298445,0.92548023894371,0.8525641025641025,
1979-01-01,227,796792000000.0,99960.288271439,247.92847130397843,0.9155866561274498,,0.27282572056120585,0.4116958516745526,0.9244759435792295,0.8853503184713376,
1979-02-01,246,796792000000.0,100103.40585207733,247.5740086093043,0.9936422703734292,,0.2728852877112055,0.4128105976640978,0.9324008624301909,0.9430379746835443,
1979-03-01,242,796792000000.0,100232.84945875342,247.25428435955288,0.9787494709215548,,0.27294486786674343,0.4139283620435931,0.9380678323218627,0.9371069182389937,
1979-04-01,239,804913000000.0,100376.35727733903,249.4172280820678,0.9582337268272416,,0.2730044610306592,0.41604353316908427,0.9434269049155117,0.90625,
1979-05-01,258,804913000000.0,100515.43143993024,249.07213189500064,1.0358445083240506,,0.273064067205793,0.4181695128046955,0.946185082059832,0.9503105590062112,
1979-06-01,279,804913000000.0,100659.34384367843,248.7160341117351,1.1217612125266516,,0.2732595151081861,0.41869149118031834,0.9570219901817413,0.9938271604938271,
1979-07-01,295,826519000000.0,100798.81009182447,255.0388689385861,1.1566864346118029,,0.27345510290405883,0.4192141211133032,0.9599345092106628,0.9938650306748467,
1979-08-01,301,826519000000.0,100943.128221364,254.67424052678993,1.1819020226678043,,0.2736508306935413,0.4258783416680103,0.9614026354343169,0.9939024390243902,
1979-09-01,355,826519000000.0,101087.652977574,254.31013342329172,1.3959333638078548,,0.273846698576835,0.4326485029183309,0.9640179298675515,0.9939393939393939,
1979-10-01,392,845116000000.0,101227.7126596296,259.67242747096583,1.5095942369307955,,0.2740427066542134,0.4353405691886792,0.9657278921881538,0.9939759036144579,
1979-11-01,392,845116000000.0,101372.64486800878,259.3011744725109,1.5117555899908073,,0.2742388550260214,0.4380493862873675,0.9710735591382779,0.9940119760479041,
1979-12-01,455,845116000000.0,101513.09941405014,258.9424027577396,1.7571475168000477,,0.27443514379267603,0.4416713073865225,0.9831937196746726,0.9940476190476191,
1980-01-01,675,863451000000.0,101658.4402233102,264.18198096721176,2.5550569252631044,,0.274631573054666,0.4453231755940611,0.9990509958044338,0.9940828402366864,
1980-02-01,665,863451000000.0,101803.98912345665,263.80428067177775,2.5208082230757483,,0.2748281429125521,0.4571889789578636,1.0224585310646503,0.9882352941176471,
1980-03-01,554,863451000000.0,101940.33642202518,263.4514370155482,2.1028543487022406,,0.275024853466967,0.4693709511114009,1.0358445083240506,0.9824561403508771,
1980-04-01,517,877614000000.0,102086.28892546898,267.38993991297264,1.933505801184098,,0.2750642046489859,0.5004038042442661,1.0372905120332783,0.9767441860465116,
1980-05-01,514,877614000000.0,102227.73224468731,267.0199765009275,1.924949611394392,,0.2751035614614615,0.5334884204257088,1.047943110952376,0.9710982658959537,
1980-06-01,601,877614000000.0,102374.09622548411,266.6382187306136,2.2539904551612477,,0.2751429239051993,0.5341143519869259,1.0516455866339978,0.9827586206896551,
1980-07-01,643,907701000000.0,102515.93830951444,275.39773261449744,2.3348049887544766,,0.2751822919810052,0.5347410179414388,1.05835752031059,0.9828571428571429,
1980-08-01,627,907701000000.0,102662.71492772392,275.00399718791954,2.279966860160035,,0.27522166568968504,0.5419197640735974,1.069185961324227,0.9772727272727273,
1980-09-01,674,907701000000.0,102809.7016925312,274.61082468386337,2.454382491207039,,0.2752610450320447,0.5491948828315709,1.0880969886508245,0.9830508474576272,
1980-10-01,661,930210000000.0,102952.14731973836,281.03119632890775,2.3520520448782913,,0.2753004300088903,0.5520796642853809,1.1108028091814888,0.9775280898876404,
1980-11-01,625,930210000000.0,103099.54847774534,280.6294067538165,2.2271365186909446,,0.27533982062102796,0.5549795987646403,1.1206871615494298,0.9553072625698324,
1980-12-01,538,930210000000.0,103242.39569552647,280.24112508219997,1.9197753357655645,,0.27537921686926414,0.5638248883928185,1.1252057466097165,0.9333333333333333,
1981-01-01,557,964531000000.0,103390.2124150134,290.16545039761235,1.919594490787051,,0.2754186187544052,0.5728111546420843,1.1566864346118029,0.9281767955801105,
1981-02-01,500,964531000000.0,103538.24077025724,289.7506016030857,1.7256219563779336,,0.2754607913812365,0.5765953761317888,1.1793559230346509,0.9175824175824175,
1981-03-01,499,964531000000.0,103672.12595827976,289.37640927880676,1.724397649565229,,0.27550297046562133,0.5804045977147475,1.3502309076284846,0.912568306010929,
1981-04-01,496,971174000000.0,103820.55794165393,290.9528569983598,1.704743528271304,,0.27554515600854834,0.5884439189124653,1.4745570049836747,0.907608695652174,
1981-05-01,480,971174000000.0,103964.40413758224,290.55029169708314,1.6520375773720786,,0.27558734801100654,0.5965945946473018,1.5108906776740891,0.9027027027027027,
1981-06-01,461,971174000000.0,104113.25458859609,290.13489269594527,1.5889160924988,,0.2756295464739851,0.6046996598981595,1.54985573033796,0.8978494623655914,
1981-07-01,409,997855000000.0,104257.50632365902,297.69328757612783,1.3738972864660517,,0.2756717513984731,0.6129148369121981,1.5421596483613942,0.8770053475935828,
1981-08-01,410,997855000000.0,104406.77642207962,297.26767625224204,1.379228327711287,,0.27571396278546006,0.614634121891832,1.5345017826372387,0.8776595744680851,
1981-09-01,444,997855000000.0,104556.26023712428,296.8426734237662,1.4957418179769428,,0.27575618063593554,0.6163582296309477,1.526881943395952,0.8835978835978836,
1981-10-01,438,1028729000000.0,104701.12576851598,305.60367253841684,1.4332288495156742,,0.2757984049508892,0.6205880994997879,1.5192999418103241,0.8789473684210526,
1981-11-01,413,1028729000000.0,104851.0310165822,305.16675175759434,1.3533584429540402,,0.2758406357313109,0.6248469976159154,1.5117555899908073,0.8586387434554974,
1981-12-01,410,1028729000000.0,104996.3049608753,304.7445199684712,1.3453892461869978,,0.27588010363731297,0.6259707225108939,1.511539315505126,0.8541666666666666,
1982-01-01,384,1061299000000.0,105146.63283009036,313.9433751102107,1.2231505119838753,,0.27591957719047283,0.6270964683128214,1.5113230719600634,0.8497409326424871,
1982-02-01,374,1061299000000.0,105297.17593038682,313.4945310781745,1.1930032677563285,,0.27595905639159857,0.6280004169518008,1.5111068593511932,0.845360824742268,
1982-03-01,330,1061299000000.0,105433.3355955772,313.08967515523983,1.054011122648409,,0.2759985412414982,0.6289056686170021,1.5108906776740891,0.8051282051282052,
1982-04-01,350,1079630000000.0,105584.289180946,318.04207695397434,1.1004833176543822,,0.27603803174098007,0.6306464965795227,1.5106745269243262,0.8163265306122449,
1982-05-01,334,1079630000000.0,105730.57907429263,317.60203073532415,1.0516305554681455,,0.27607752789085244,0.6323921432010985,1.5104584070974805,0.7918781725888325,
1982-06-01,315,1079630000000.0,105881.9582363406,317.1479559327961,0.9932272748645706,,0.2761170296919239,0.6326863381132452,1.5102423181891274,0.7626262626262627,
1982-07-01,339,1142035000000.0,106028.66055822853,335.01563544811205,1.0118930704429914,,0.276156537145003,0.6329806698876967,1.5100262601948438,0.7688442211055276,
1982-08-01,364,1142035000000.0,106180.46649676494,334.53666445993014,1.0880720670412465,,0.2761960502508983,0.6345899669968658,1.509810233110207,0.815,
1982-09-01,437,1142035000000.0,106332.48978260026,334.05837825533206,1.3081545874774805,,0.27623556901041874,0.6362033556009393,1.5095942369307955,0.8557213930348259,
1982-10-01,422,1197074000000.0,106479.81632815213,349.6734370371732,1.2068403124230964,,0.2762750934243733,0.6386816092169784,1.5082032414709048,0.8465346534653465,
1982-11-01,415,1197074000000.0,106632.2682064252,349.17350982794113,1.1885208594560783,,0.276314623493571,0.641169516571765,1.506813527725214,0.8374384236453202,
1982-12-01,445,1197074000000.0,106780.01010310548,348.69038984544005,1.2762037984392114,,0.2763541592188209,0.6460996796047153,1.5054250945127043,0.8529411764705882,
1983-01-01,481,1244493000000.0,106932.8917821278,361.9845911804038,1.3287858426003607,,0.27639370060093243,0.6510677522807525,1.5040379406534456,0.8585365853658536,
1983-02-01,491,1244493000000.0,107085.99234863442,361.4670627459102,1.3583533621848798,,0.27643324764071486,0.6512662301129634,1.5026520649685955,0.8689320388349514,
1983-03-01,420,1244493000000.0,107224.46513041548,361.00025370527027,1.1634340854034375,,0.2764728003389777,0.6514647684510888,1.5012674662803966,0.8164251207729468,
1983-04-01,433,1319581000000.0,107377.98315542392,382.2343815096899,1.1328128000673408,,0.27651235869653074,0.6528220722597835,1.499884143412178,0.8076923076923077,
