,gold,debt,stock_t,ceiling,ratio
1977-09-01,150,698840000000.0,97738.62597096001,222.3926670726925,0.6744826705593228
1977-10-01,159,718943000000.0,97874.0454853599,228.47351193373606,0.6959231232288958
1977-11-01,162,718943000000.0,98014.17609962058,228.14686394419388,0.7100689319123238
1977-12-01,160,718943000000.0,98149.97739618944,227.8311976470263,0.7022743226232097
1978-01-01,173,737951000000.0,98290.50307441184,233.5204426440184,0.7408344984328564
1978-02-01,178,737951000000.0,98431.22994948382,233.18657907068314,0.7633372414029237
1978-03-01,184,737951000000.0,98558.51126729487,232.88543516440524,0.7900880528235069
1978-04-01,175,749024000000.0,98699.62186158997,236.04194367209237,0.7413936577437636
1978-05-01,176,749024000000.0,98836.3728618334,235.71535366315217,0.7466632837651802
1978-06-01,184,749024000000.0,98977.88128290404,235.3783520312053,0.7817201472105055
1978-07-01,189,771544000000.0,99115.01781911482,242.1197252323419,0.7806055447098853
1978-08-01,206,771544000000.0,99256.92518853616,241.77356728691416,0.8520368968024472
1978-09-01,212,771544000000.0,99399.0357330357,241.4279042426064,0.8781089355229011
1978-10-01,227,789207000000.0,99536.75579014783,246.6132374526793,0.9204696485262972
1978-11-01,206,789207000000.0,99679.26698053768,246.26065514444323,0.8365120277909254
1978-12-01,208,789207000000.0,99817.3753056358,245.9199264234623,0.845803766392781
1979-01-01,227,796792000000.0,99960.28827143899,247.92847130397843,0.9155866561274498
1979-02-01,246,796792000000.0,100103.40585207733,247.5740086093043,0.9936422703734291
1979-03-01,242,796792000000.0,100232.84945875342,247.25428435955286,0.9787494709215547
1979-04-01,239,804913000000.0,100376.35727733905,249.4172280820678,0.9582337268272417
1979-05-01,258,804913000000.0,100515.43143993024,249.07213189500064,1.0358445083240506
1979-06-01,279,804913000000.0,100659.34384367843,248.7160341117351,1.1217612125266516
1979-07-01,295,826519000000.0,100798.81009182447,255.0388689385861,1.1566864346118029
1979-08-01,301,826519000000.0,100943.12822136401,254.67424052678993,1.1819020226678045
1979-09-01,355,826519000000.0,101087.65297757399,254.31013342329172,1.3959333638078548
1979-10-01,392,845116000000.0,101227.7126596296,259.67242747096583,1.5095942369307955
1979-11-01,392,845116000000.0,101372.64486800878,259.3011744725109,1.5117555899908073
1979-12-01,455,845116000000.0,101513.09941405014,258.9424027577396,1.7571475168000477
1980-01-01,675,863451000000.0,101658.44022331019,264.18198096721176,2.5550569252631044
1980-02-01,665,863451000000.0,101803.98912345663,263.80428067177775,2.5208082230757483
1980-03-01,554,863451000000.0,101940.33642202518,263.4514370155482,2.1028543487022406
1980-04-01,517,877614000000.0,102086.28892546898,267.38993991297264,1.933505801184098
1980-05-01,514,877614000000.0,102227.73224468731,267.0199765009275,1.9249496113943918
1980-06-01,601,877614000000.0,102374.09622548411,266.6382187306136,2.2539904551612477
1980-07-01,643,907701000000.0,102515.93830951443,275.39773261449744,2.3348049887544766
1980-08-01,627,907701000000.0,102662.71492772392,275.00399718791954,2.279966860160035
1980-09-01,674,907701000000.0,102809.70169253119,274.61082468386337,2.454382491207039
1980-10-01,661,930210000000.0,102952.14731973835,281.03119632890775,2.3520520448782913
1980-11-01,625,930210000000.0,103099.54847774534,280.6294067538165,2.2271365186909446
